Cases,Deaths,Recovered,Travel_history,Province
1,0,0,China,Islamabad Capital Territory
2,0,0,Iran/Taftan,Sindh
1,0,0,China,Islamabad Capital Territory
1,0,0,Iran/Taftan,Sindh
1,0,0,Iran/Taftan,Gilgit-Baltistan
0,0,1,Unknown,Sindh
1,0,0,Iran/Taftan,Sindh
6,0,0,Syria,Sindh
3,0,0,UK,Sindh
1,0,0,Iran/Taftan,Sindh
1,0,0,Syria,Sindh
1,0,0,Iran/Taftan,Baluchistan
1,0,0,Iran/Taftan,Gilgit-Baltistan
0,0,1,Iran/Taftan,Sindh
1,0,0,Local - Social Contact,Gilgit-Baltistan
1,0,0,USA,Islamabad Capital Territory
1,0,1,Local - Social Contact,Sindh
7,0,0,Iran/Taftan,Baluchistan
13,0,0,Iran/Taftan,Sindh
4,0,0,Iran/Taftan,Sindh
1,0,0,UK,Punjab
15,0,0,Iran/Taftan,Khyber Pakhtunkhwa
1,1,0,Unknown,Khyber Pakhtunkhwa
119,0,0,Iran/Taftan,Sindh
26,0,0,Iran/Taftan,Sindh
2,0,0,Iran/Taftan,Sindh
1,0,0,Unknown,Punjab
1,0,1,Unknown,Islamabad Capital Territory
1,0,0,Unknown,khyber Pakhtunkhwa
1,0,0,Unknown,Khyber Pakhtunkhwa
15,0,0,Iran/Taftan,Punjab
24,0,0,Iran/Taftan,Sindh
5,0,0,KSA,Sindh
3,0,0,Unknown,Punjab
1,0,0,Unknown,khyber Pakhtunkhwa
1,0,0,UK,Khyber Pakhtunkhwa
2,0,0,Iran/Taftan,Baluchistan
1,0,0,Unknown,Islamabad Capital Territory
2,0,0,Unknown,Islamabad Capital Territory
5,0,0,Iran/Taftan,Punjab
31,0,0,Iran/Taftan,Sindh
5,0,0,Local - Social Contact,Sindh
10,0,0,Unknown,Gilgit-Baltistan
1,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,1,0,KSA,Khyber Pakhtunkhwa
1,1,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Iran/Taftan,Azad Jummu Kashmir
1,0,0,Local - Social Contact,Punjab
8,0,0,Unknown,Punjab
44,0,0,Iran/Taftan,Punjab
37,0,1,Local - Social Contact,Sindh
53,0,0,Iran/Taftan,Baluchistan
2,0,0,Local - Social Contact,Khyber Pakhtunkhwa
1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa
4,0,0,Unknown,Gilgit-Baltistan
4,0,0,Unknown,Gilgit-Baltistan
5,0,0,Unknown,Baluchistan
4,1,0,Local - Social Contact,Sindh
1,0,0,Unknown,Khyber Pakhtunkhwa
1,0,0,Unknown,Federal Administration Tribal Area
1,0,0,Local - Social Contact,Punjab
1,0,0,Local - Social Contact,Punjab
3,0,0,Local - Social Contact,Punjab
